X, sigma
98.592,72.41200000000001
124.907,36.827
1.07,.29
91.604,25.373
2.15,.8100000000000001
1.05,.27
58.551,46.795
.023,.0043
94.118,78.483
2.1,1.06
.5884,.0073
130.03,64.27800000000001
.5495,.036
.99,.093
.5891,.0074
1.03,.37
2.22,.83
2.09,1.03
1.04,.31
8.125999999999999,3.8
.0772,.0542
.319,.238
.339,.166
.405,.165
.0921,.0482
.316,.217
.126,.0477
.335,.18
.145,.0607
.017,.024
.4,.153
3951.4,1414.1
.28,.092
.058,.019
.027,.013
.6870000000000001,.078
.71,.072
.29,.12
1.21,.128
1299,1247.4
.902,.171
.694,.043
.3038,.011
5078.5,2265.4
.842,.08
.99,.031
.058,.017
.046,.022
.28,.091
7434.7,2768.5
.06,.006
.646,.04
.102,.026
.025,.006
.017,.009
.023,.034
.711,.035
.036,.015
1.154,.14
.1907,.0323
.27,.1
.909,.069
.589,.035
5.562,1.141
.862,.16
.123,.047
.005,.004
.189,.042
.068,.013
.095,.056
.14,.081
.012,.012
.048,.018
4.85,1.39
.055,.048
.186,.198
.024,.061
4.72,1.26
.091,.023
.668,.049
.19,.034
.006,.029
.156,.046
.192,.038
.128,.074
.012,.006
.008,.044
.013,.006
.012,.03
.711,.035
.772,.174
.114,.057
.514,.038
.005,.004
.191,.035
.71,.116
.015,.063
.121,.055
.123,.03
2.12,1.27
.108,.052
.363,.163
.578,.04
.918,.176
.14,.042
0,.012
.598,.036
.158,.046
5.721,1.644
2.68,.93
.499,.051
.039,.035
1.09,2.109
.113,.064
.315,.038
.353,.059
.001,.043
.099,.053
.099,.015
.192,.04
.181,1.883
.005,1.441
.002,.02
.192,.034
.036,.042
.094,.057
.524,.966
.017,.008
.109,.05
.948,1.128
.107,.056
.108,.085
1.809,1.939
1.691,.954
.12,.057
.065,.049
.125,.055
.093,.022
.153,.067
.141,.069
.174,.04
.134,.062
7.222,1.322
.015,1.439
.079,.069
.147,1.725
.022,.006
.093,.018
.198,.096
7.833,1.405
.03,1.404
.017,.005
6.74,1.031
.136,.039
.027,.007
.004,.077
.171,.106
.038,.007
.094,.037
.047,.064
.014,.034
.027,.016
.057,.016
.03,.017
8.65,1.43
6.299,1.362
.153,.067
.068,.033
.019,.121
.008,.007
.036,.01
.135,.073
.018,.005
.008,.014
.108,.096
.015,.009
.148,.076
.045,.022
.099,.085
.191,.044
.18,.167
.126,.054
.17,.061
.066,.013
.021,.041
.61,.21
.019,.012
.113,.125
.097,.059
.016,.072
.104,.063
.091,.209
.026,.005
.009,.001
.77,.26
.232,.218
.089,9.24
.02,.042
.095,.04
.269,.206
.123,.05
.279,.193
.174,.038
.179,.107
.022,.002
.19,.035
.013,.033
.027,.005
.114,.101
.105,.049
.098,.016
.208,.124
7.892,1.363
.105,.062
.293,.193
9.525,103.351
.209,.127
.008,.004
.016,.056
.73,.25
.239,.065
.66,.21
.007,.004
.001,.0026
.051,.032
.009,.012
.002,.002
.102,.049
1.759,3.185
.011,.006
.471,1.349
.033,.02
.012,.161
.095,.099
.281,.144
.508,.663
.237,.042
.072,.078
.142,.138
.376,3.037
.021,.042
.172,.039
.016,.033
7.435,5.267
.0031,.0026
.68,.26
.349,5.449
.01,.001
.408,.519
.263,1.494
.105,.13
.008,.001
5.635,1.136
.068,.032
1.652,3.07
.0075,.0026
.253,.077
277.36,162.431
5.607,3.849
.061,.155
.177,.125
.06,.061
3.193,2.096
.71,.25
.037,.025
.0016,.003
.044,.01
.054,.026
.024,.06
.987,.196
4.635,1.347
4.102,1.096
.272,.026
.246,.025
.17,.024
.82,.175
.25,.025
.153,.024
.229,.024
.238,.026
.262,.03
1.26,.45
.59,.33
.749,.252
.632,.336
.616,.324
.84,.39
.9,.37
.543,.237
.701,.314
.84,.39
.6879999999999999,.242
.048,.017
2.368,.9419999999999999
.01,.004
.109,.024
1.487,.375
.17,.046
.02,.004
1.487,.375
1.81,.308
.041,.021
1.606,.8169999999999999
.072,.021
.8,.229
2.76,.6
2.512,.784
2.413,1.075
1.29,.46
.328,.6889999999999999
.91,.146
2.422,.993
1.29,.46
3.782,2.063
2.368,.9419999999999999
.14,1.38
.243,1.049
.056,.019
1.399,.329
2.76,.6
.017,.059
.022,.004
.001,.033
.01,.019
.007,.021
.02,.006
.017,.003
.003,.003
.019,.003
.038,.036
.002,.06
.13,.043
.035,.035
.022,.004
.016,.033
.128,.031
.105,.047
.108,.033
.021,.006
.001,.001
2.6,1.23
.389,.143
.001,.005
.275,.111
.216,.133
.013,.005
.063,.024
.002,.005
.025,.006
.144,.138
.017,.005
.222,.09
.002,.003
.09,.032
.394,.135
.036,.007
.31,.103
.5629999999999999,.127
.021,.006
.013,.005
.042,.026
.03,.01
.029,.01
.02,.006
.247,.092
.353,.147
.012,.006
.035,.007
.022,.005
.395,.111
2.6,1.23
.024,.006
.223,.186
.342,.141
.022,.006
.014,.005
.071,.021
.305,.119
.045,.024
.178,.179
.024,.006
.08,.033
.02,.006
.5669999999999999,.134
.0087,.0035
.0081,.003
.0084,.0035
.0099,.0036
.0084,.005
.0098,.0042
.78,.32
.0094,.0036
.82,.49
.0112,.0041
.82,.49
.78,.32
.0092,.0031
.0015,.0018
.0031,.003
0,.0007
.0082,.003
.004,.003
.0066,.0037
.0022,.0033
.0014,.002
.0011,.0031
.0007,.0009
.0046,.0042
.0026,.0051
.0049,.0046
.0021,.0028
.0015,.0028
.0032,.0022
.0181,.005
.0061,.003
.0067,.0029
.0142,.0048
.0087,.0035
.0084,.0035
.006,.0037
.008,.0034
.007,.0039
2.77,2.47
3.96,1.43
2.97,1.57
5.5,1.41
4.21,1.62
4.4,1.82
3.12,1.21
1.87,1.41
3.23,1.37
3.24,1.81
1.35,1.25
4.37,1.29
3.06,1.21
3.71,1.39
3.64,1.21
3.98,1.55
1.84,.41
6.06,1.5
3.07,1.43
.84,.41
2.74,1.1
19.32,11.11
16.71,9.35
